Site Longitude   Latitude   Height      Nvel     Evel     Uvel   Nerr   Eerr   Uerr
av40 196.25703277 54.64453708  413.943   -22.84    -7.92     2.65    0.1   0.09   0.32 
avln 174.93285846 -41.19643899   39.560    33.97   -21.95    -2.02   0.12   0.18   0.23 
avry 242.84603056 34.46830084  888.905     2.99   -23.63     0.59   0.05   0.04   0.16 
azam 248.92863965 31.73003235  928.938     -7.2    -13.1    -1.14   0.08    0.1   0.29 
azbr 249.19855257 32.25898678  758.391    -6.39   -13.25      0.2   0.16    0.1    0.3 
azcn 252.08903859 36.83979328 1862.944    -5.82    -14.4    -0.63   0.08   0.08   0.27 
azds 245.64076623 35.53313336  870.672    -8.88   -14.78    -0.96   0.09   0.15    0.3 
azfl 248.34296177 35.17731038 2087.961    -7.82   -14.12    -0.73   0.08   0.07   0.23 
azfm 245.40489598 34.85223727  119.835     -8.9    -14.6    -0.96   0.13    0.1   0.24 
azgv 245.74573287 35.25437373  867.567    -8.53   -14.51    -0.61   0.08   0.16   0.27 
azkr 249.08972513 33.05895882  560.510    -7.34   -10.83     -1.2   0.19   0.29   0.44 
azlh 245.65286627 34.50832741  172.518    -7.97   -14.59    -0.69   0.11   0.09   0.25 
azpa 247.72208091 33.69274175  371.960    -7.55   -13.49    -0.34   0.11   0.08   0.27 
azpe 247.74438723 33.57494237  316.183    -6.79   -12.47    -2.63   0.19   0.21   0.44 
azpg 248.53731004 36.90866899 1301.939    -8.11   -14.59     0.31   0.12    0.1   0.26 
azps 247.5392659 34.60856493 1574.267    -8.18   -14.35    -0.05   0.08   0.09   0.27 
azrv 250.71897831 34.13193122 2110.623    -6.89   -14.54     0.01   0.09   0.17   0.38 
azry 243.37030544 33.5400714 1265.687    12.07   -32.28    -0.67   0.04   0.05   0.12 
azsf 250.28808609 32.80203646  896.964    -6.68   -13.22     0.52   0.08   0.08   0.23 
azst 248.36471208 33.16780859  485.221    -7.28   -13.04    -0.79    0.1   0.14   0.29 
azsv 248.75948452 34.26499541 1465.262    -7.92   -13.77    -0.78   0.13   0.11   0.28 
aztp 248.06235698 33.44568867  360.388     -7.7   -13.54    -0.33   0.09   0.15   0.29 
azu1 242.10351731 34.12601723  144.757    11.93   -35.88    -0.98   0.05   0.05   0.12 
azup 248.37998826 33.48092516  591.602    -7.44   -13.73    -0.57   0.12   0.17   0.44 
azva 249.22970057 31.95407757 1010.164    -7.13   -13.21    -0.11   0.09    0.1   0.34 
